section_id,start_index,end_index,start_s_m,end_s_m,length_m,type,direction,mean_abs_kappa,max_abs_kappa,mean_vx_mps,strategy_hint
1,0,7,0.0,6.9933195,6.9933195,medium_curve,right,0.1077059,0.1450822,9.26252345,速度と横加速度の余裕を確認し、回避開始を早める。
2,8,19,7.9923651,18.9818671,10.989501999999998,medium_curve,right,0.07919234166666667,0.1132285,10.463206408333333,速度と横加速度の余裕を確認し、回避開始を早める。
3,20,30,19.9809128,29.9713692,9.990456400000003,gentle_curve,right,0.021957672727272726,0.0671144,12.463747945454545,基本速度を維持しつつ、横方向回避量を小さく抑える。
4,31,37,30.9704148,36.9646886,5.994273800000002,gentle_curve,right,0.04266651428571429,0.0541236,14.801217571428571,基本速度を維持しつつ、横方向回避量を小さく抑える。
5,38,61,37.9637343,60.941784,22.9780497,straight,none,0.009906695833333335,0.0297815,16.145334825000003,加速余地が大きい。障害物検知距離を長めに取り、回避は早期に戻す。
6,62,85,61.9408296,84.9188793,22.9780497,sharp_curve,right,0.1226307875,0.2391493,8.652846625,減速優先。大きな横回避は避け、手前でラインを整える。
7,86,107,85.9179249,106.8978834,20.979958499999995,gentle_curve,right,0.01935470909090909,0.0703785,13.367883218181818,基本速度を維持しつつ、横方向回避量を小さく抑える。
8,108,115,107.896929,114.8902485,6.993319499999998,medium_curve,left,0.08512315,0.1255597,9.4573204625,速度と横加速度の余裕を確認し、回避開始を早める。
9,116,125,115.8892941,124.8807049,8.991410799999997,sharp_curve,left,0.18836723000000002,0.2447158,7.443505930000001,減速優先。大きな横回避は避け、手前でラインを整える。
10,126,133,125.8797505,132.87307,6.993319500000013,medium_curve,left,0.0906182375,0.1394393,9.400688025000001,速度と横加速度の余裕を確認し、回避開始を早める。
11,134,157,133.8721156,156.8501653,22.978049699999985,straight,none,0.010405508333333334,0.0291584,13.812514929166667,加速余地が大きい。障害物検知距離を長めに取り、回避は早期に戻す。
12,158,167,157.8492109,166.8406217,8.991410800000011,medium_curve,left,0.07528663,0.1150194,10.213489379999999,速度と横加速度の余裕を確認し、回避開始を早める。
13,168,177,167.8396673,176.8310781,8.991410800000011,sharp_curve,right,0.14965984,0.2111033,8.05577748,減速優先。大きな横回避は避け、手前でラインを整える。
14,178,194,177.8301237,193.8148539,15.984730200000001,sharp_curve,right,0.10947533529411765,0.167409,9.061939182352942,減速優先。大きな横回避は避け、手前でラインを整える。
15,195,209,194.8138996,208.8005385,13.986638899999974,medium_curve,left,0.09030210666666667,0.1494053,9.618163926666664,速度と横加速度の余裕を確認し、回避開始を早める。
16,210,219,209.7995842,218.7909949,8.991410699999989,medium_curve,right,0.057085340000000005,0.1124863,9.73185523,速度と横加速度の余裕を確認し、回避開始を早める。
17,220,226,219.7900406,225.7843144,5.994273800000002,sharp_curve,right,0.1684209285714286,0.3895487,6.371726214285715,減速優先。大きな横回避は避け、手前でラインを整える。
18,227,233,226.78336,232.7776339,5.9942739000000245,sharp_curve,right,0.17622294285714285,0.2836856,6.9136838,減速優先。大きな横回避は避け、手前でラインを整える。
19,234,247,233.7766795,246.7642728,12.987593299999986,medium_curve,right,0.06785925714285714,0.1309939,9.659841771428573,速度と横加速度の余裕を確認し、回避開始を早める。
20,248,256,247.7633185,255.7556836,7.992365100000001,sharp_curve,left,0.18211093333333334,0.3422993,6.801608388888889,減速優先。大きな横回避は避け、手前でラインを整える。
21,257,276,256.7547292,275.7365963,18.981867099999988,sharp_curve,left,0.109017795,0.2203979,8.687152334999999,減速優先。大きな横回避は避け、手前でラインを整える。
22,277,289,276.735642,288.7241896,11.988547600000004,sharp_curve,right,0.11600700769230768,0.2347002,7.966279607692308,減速優先。大きな横回避は避け、手前でラインを整える。
23,290,296,289.7232353,295.7175091,5.994273799999974,medium_curve,right,0.09469614285714287,0.1494446,9.60031492857143,速度と横加速度の余裕を確認し、回避開始を早める。
24,297,305,296.7165548,304.7089199,7.992365100000029,medium_curve,right,0.07065404444444444,0.0822014,11.147099633333333,速度と横加速度の余裕を確認し、回避開始を早める。
25,306,318,305.7079655,317.6965132,11.988547700000026,medium_curve,right,0.10320434615384616,0.1215353,10.027720223076924,速度と横加速度の余裕を確認し、回避開始を早める。
26,319,326,318.6955588,325.6888783,6.993319499999984,gentle_curve,left,0.0277637625,0.0668991,11.2063822375,基本速度を維持しつつ、横方向回避量を小さく抑える。
27,327,333,326.6879239,332.6821978,5.994273899999996,sharp_curve,left,0.123294,0.1627447,8.930224585714285,減速優先。大きな横回避は避け、手前でラインを整える。
28,334,340,333.6812434,339.6755172,5.994273799999974,medium_curve,left,0.09998085714285714,0.125739,9.390167128571429,速度と横加速度の余裕を確認し、回避開始を早める。
29,341,349,340.6745629,348.666928,7.992365099999972,gentle_curve,right,0.047498266666666664,0.0673278,11.530888333333333,基本速度を維持しつつ、横方向回避量を小さく抑える。
